YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2026,1,JAN,2026-01-02,Denmark,State (FIR),CPF,264465,263916.22000000003,261157.68
2026,1,JAN,2026-01-02,Denmark,State (FIR),FTFM,267287,265727.85,260993.91
2026,1,JAN,2026-01-02,Denmark,State (FIR),SFR,259628,258080.07,253848.75
2026,1,JAN,2026-01-02,EUROCONTROL Area (PRR),Area (FIR),CPF,30077674,29427487.52,29247417.04
2026,1,JAN,2026-01-02,EUROCONTROL Area (PRR),Area (FIR),FTFM,30309150,29281376.59,29027112.22
2026,1,JAN,2026-01-02,EUROCONTROL Area (PRR),Area (FIR),SFR,29524759,28575326.68,28329153.82
2026,1,JAN,2026-01-02,Estonia,State (FIR),CPF,89796,89500.44,84831.82
2026,1,JAN,2026-01-02,Estonia,State (FIR),FTFM,91691,91427.42,86596.03
2026,1,JAN,2026-01-02,Estonia,State (FIR),SFR,85765,85494.82,80986.02
2026,1,JAN,2026-01-02,FAB CE,FAB (FIR),CPF,2886111,2874443.24,2832011.15
2026,1,JAN,2026-01-02,FAB CE,FAB (FIR),FTFM,2890489,2871198.26,2816413.64
2026,1,JAN,2026-01-02,FAB CE,FAB (FIR),SFR,2781741,2764345.38,2714357.96
2026,1,JAN,2026-01-02,FAB CE (SES RP1),FAB (FIR),CPF,2050235,2041594.79,2006307.02
2026,1,JAN,2026-01-02,FAB CE (SES RP1),FAB (FIR),FTFM,2053570,2038182.84,1992330.1400000001
2026,1,JAN,2026-01-02,FAB CE (SES RP1),FAB (FIR),SFR,1975804,1961836.06,1920185.48
2026,1,JAN,2026-01-02,FAB CE (SES RP2),FAB (FIR),CPF,2571909,2561308.02,2521383.45
2026,1,JAN,2026-01-02,FAB CE (SES RP2),FAB (FIR),FTFM,2572055,2554138.85,2502537.71
2026,1,JAN,2026-01-02,FAB CE (SES RP2),FAB (FIR),SFR,2476833,2460649.71,2413719.27
2026,1,JAN,2026-01-02,FABEC,FAB (FIR),CPF,7826090,7725952.74,7616434.53
2026,1,JAN,2026-01-02,FABEC,FAB (FIR),FTFM,7921705,7693069.77,7548273.62
2026,1,JAN,2026-01-02,FABEC,FAB (FIR),SFR,7785190,7574415.41,7435246.77
2026,1,JAN,2026-01-02,Finland,State (FIR),CPF,148081,147540.94,143407.69
2026,1,JAN,2026-01-02,Finland,State (FIR),FTFM,150033,149347.58000000002,144750.76
2026,1,JAN,2026-01-02,Finland,State (FIR),SFR,144931,144363.88,139984.13
2026,1,JAN,2026-01-02,France,State (FIR),CPF,4311200,4258615.95,4186529.41
2026,1,JAN,2026-01-02,France,State (FIR),FTFM,4335213,4209892.13,4118476.9
2026,1,JAN,2026-01-02,France,State (FIR),SFR,4243810,4127734.93,4039223.77
2026,1,JAN,2026-01-02,Georgia,State (FIR),CPF,219243,218404.17,206744.79
2026,1,JAN,2026-01-02,Georgia,State (FIR),FTFM,216845,215439.58000000002,205506.44
2026,1,JAN,2026-01-02,Georgia,State (FIR),SFR,204891,203788.96,194445.04
